station_id,name,lat,lon,capacity,address,is_charging_station,nearby_distance
7993,Wells St / Brunswick Ave,43.6710516375838,-79.4090475521149,14,Wells St / Brunswick Ave,False,500.0
7994,Eglinton Ave E / Victoria Park Ave,43.7248610323054,-79.3035130629517,11,Eglinton Ave E / Victoria Park Ave,False,400.0
7995,Eglinton Ave W / Oakwood Ave,43.6970502302877,-79.4437599043325,15,Eglinton Ave W / Oakwood Ave,False,300.0
7996,Scarborough GO Station,43.7170472128686,-79.2546103078911,22,Scarborough Go Station,True,300.0
7997,3220 Bloor St W,43.6461867574952,-79.5176253674746,38,3220 Bloor St W,True,300.0
7998,Eglinton West Subway Station,43.6986710396861,-79.4368073856036,19,Eglinton West Subway Station,False,300.0
7999,Lawrence Ave W / Marlee Ave,43.7155526927409,-79.4461544565374,15,Lawrence Ave W / Marlee Ave,False,500.0
8000,16 Riverview Gardens ,43.6488371215979,-79.4867529425066,31,16 Riverview Gardens ,True,500.0
8001,Union Station (North),43.6456496200324,-79.3811631406857,16,Union Station (North),False,100.0
8002,Grantbrook St / Finch Hydro Corridor Trail,43.7804683053612,-79.4328041548848,15,Grantbrook St / Finch Hydro Corridor,False,300.0
8003,Tecumseth St / Tecumseth Pl,43.6426979962,-79.4049993694586,11,Tecumseth St / Tecumseth Pl,False,100.0
8004,21 Pleasant Blvd (1),43.6872118103153,-79.3926959180425,11,21 Pleasant Blvd (1),True,10.0
8005,21 Pleasant Blvd (2),43.6872042641154,-79.3926972652451,11,21 Pleasant Blvd (2),True,10.0
8006,803 Richmond St W,43.6443818969424,-79.4108533793123,23,803 Richmond St W,True,150.0
8007,385 Pacific Ave,43.6651094724602,-79.4683358142309,29,385 Pacific Ave,True,200.0
8008,Brookdale Ave / Yonge St,43.7299199927157,-79.4037271979714,16,Brookdale Ave/ Yonge St,False,300.0
8009,1 Shortt St,43.6959299331303,-79.4519013960952,38,1 Shortt St,True,300.0
8010,Finch Ave W / Bathurst St,43.7735613573139,-79.4440483091091,19,521 Finch Ave W,False,300.0
8011,33 Queen St E,43.6523196075425,-79.3768485767479,31,33 Queen St E,True,100.0
8012,Cherry St / Polson St,43.643320932767,-79.3512094851807,19,Cherry St / Polson St,True,300.0
8013,Logan Ave / Eastern Ave - SMART,43.6579255010755,-79.3414348692942,12,Logan Ave / Eastern Ave - SMART,False,150.0
8014,Wellington St W / Blue Jays Way,43.644733870701,-79.3916896326268,23,Wellington St W /Blue Jays way,False,150.0
8015,Spadina Ave / Dundas St W - SMART,43.6523523012161,-79.3980161769356,12,Spadina Ave / Dundas St W - SMART,False,150.0
8016,Queens Quay E / Freeland St,43.6424994808193,-79.3728577931847,23,Queens Quay E / Freeland St,False,150.0
8017,Pharmacy Ave / Eglinton Ave E ,43.7253446699245,-79.2976874085289,15,Pharmacy Ave / Eglinton Ave E ,False,300.0
8018,Saulter St / Queen St E - SMART,43.6589769715956,-79.3471531662705,16,Saulter St / Queens St E - SMART,False,200.0
8020,Euclid Ave / Queen St W - SMART,43.6465680640097,-79.4076868902591,9,Euclid Ave / Queen St W,False,300.0
8021,Torresdale Ave / Finch Ave W,43.7724556348983,-79.4510208541343,19,Torresdale Ave / Finch Ave W,False,300.0
8022,Sunrise Ave / Victoria Park Ave,43.7194091289023,-79.3022611709694,11,25 Sunrise Ave,False,500.0
8023,Shaw St / College St,43.6551193,-79.4201454,11,Shaw St / College St,False,500.0
8025,Front St E / Scott St (2),43.6476241415141,-79.3755249889202,11,Front St E / Scott St (2),False,50.0
8026,Jack Layton Ferry Terminal,43.6410316193689,-79.3767044272613,23,Jack Layton Ferry Terminal,False,50.0
8031,Ancaster Rd / Spalding Rd,43.7335948635825,-79.46651489023,15,Ancaster Rd / Spalding Rd,False,1000.0
8032,Roding St / Nash Dr,43.728859645844,-79.4920299765823,15,Roding St / Nash Dr,False,1000.0
8033,Ridge Rd / Wilson Ave ,43.7237869593083,-79.4941626981476,19,Ridge Rd / Wilson Ave ,False,1000.0
8034,Exbury Rd / Jane St,43.7295224865538,-79.5101425092621,15,Exbury Rd / Jane St,False,500.0
8035,Dubray Ave / Wilson Ave,43.7286176289777,-79.4780012294304,19,Dubray Ave / Wilson Ave,False,1000.0
